,NCV,Stein_diff,CF,MCOnMesh,MCTrue,Stein_grad
Parameter 1,-4.063822913169861,-3.92499361038208,-4.665452003479004,-1.7453678,-3.587154,-2.801066207885742
Parameter 3,-4.052859830856323,-3.9485318183898928,-3.311671996116638,-1.7453678,-3.7357364,-2.568069928884506
Parameter 5,-0.05248820781707764,0.14934394657611846,-0.07623501420021057,-1.7453678,1.7784874,-0.1501747965812683
Parameter 7,-1.976526403427124,-1.5110209465026856,2.153804159164429,-1.7453678,-1.4028745,1.7602619051933288
