,dim,seed,true_val,NSE_diff,NSE_grad,Langevin,HMC,CF,NCV,Epochs,n_samples
0,1,50.8,0.0,0.03708443836803778,0.03837908580899236,0.018807742800000003,-0.08283731899999999,-0.042471472825855,-0.10156683549284935,1000.0,300.0
1,2,50.8,0.0,-0.2833467811346054,-0.2233162760734558,0.076763779,-0.13220008394,0.2510404855012894,0.11209067106246948,1000.0,300.0
2,3,50.8,0.0,1.3941350162029267,-0.8504513887921348,-0.037348941999999996,0.587637226,0.9858658313751223,-0.11053978353738778,1000.0,300.0
3,5,50.8,0.0,1.0004154168069364,-0.8589072302682326,1.158276994,1.50892416,0.6418513298034668,-0.7104748249053955,1000.0,300.0
4,10,50.8,0.0,-0.32371547222137453,0.01598761975765228,3.9845398599999995,3.21269899,0.031259088218212175,-1.7611826300621032,2000.0,300.0
5,20,50.8,0.0,-0.3866764158010483,-0.22242048978805543,13.157942200000003,15.8998946,0.5408665865659714,-1.091084086894989,3000.0,300.0
6,30,50.8,0.0,-0.6773831665515899,1.3909985840320587,23.3527258,23.7480356,0.7961380466818809,0.997698974609375,4000.0,300.0
