dim,seed,true_val,NSE_diff,NSE_grad,Langevin,HMC,CF,NCV,Epochs,n_samples
1,7,0.0,0.3976646959781647,0.2585304975509643,-0.11166362,-0.10391439,-0.3289445340633392,0.0982361510396003,1000,300
1,13,0.0,0.2446820586919784,0.3791607618331909,-0.032752976,0.15301359,0.5579426884651184,0.2670327425003052,1000,300
1,23,0.0,0.2270083725452423,0.1356308609247207,0.15270172,-0.16992605,-0.7769865989685059,1.307140588760376,1000,300
1,42,0.0,0.0234292726963758,0.232669249176979,-0.08384167,-0.20809051,-0.2059835344552993,1.2712925672531128,1000,300
1,169,0.0,0.2328461706638336,-0.059448167681694,0.16959526,-0.085269235,0.088468886911869,1.074187397956848,1000,300
2,7,0.0,0.4932402670383453,0.1374659091234207,0.13689686,-0.52055126,2.0504729747772217,0.6381006836891174,1000,300
2,13,0.0,0.341447651386261,0.2542992830276489,0.6378821,0.27383667,-0.3353799879550934,1.3666865825653076,1000,300
2,23,0.0,0.1323544532060623,0.2444475293159485,-0.13230969,-0.20706478,0.1641673594713211,0.6574538350105286,1000,300
2,42,0.0,0.3913157284259796,0.4165459871292114,-0.3340933,-0.20071246,3.460974931716919,1.0585508346557615,1000,300
2,169,0.0,0.3486442267894745,0.5291802883148193,0.075442925,-0.0065085897,-1.6229844093322754,2.359349489212036,1000,300
3,7,0.0,0.4489090144634247,0.5066794753074646,0.15072943,-0.1480082,3.574716091156006,0.745644748210907,1000,300
3,13,0.0,1.2933120727539062,0.5084115862846375,-0.17494163,0.10145953,-1.140434741973877,0.8204789161682129,1000,300
3,23,0.0,0.3546329736709595,0.176705464720726,-0.22457889,0.8120237,-2.6472668647766118,1.1322662830352783,1000,300
3,42,0.0,0.4322202205657959,0.6327595710754395,0.18226105,0.8071906,1.1951723098754885,1.0822511911392212,1000,300
3,169,0.0,0.608314037322998,0.3608227670192718,-0.12021467,1.3655205,4.497849941253662,0.731886088848114,1000,300
5,7,0.0,1.049208402633667,1.135660171508789,1.0731697,0.8439605,2.2981743812561035,-0.9993351697921752,1000,300
5,13,0.0,0.7472906708717346,1.4327824115753174,1.3072728,1.8142922,5.003093719482422,3.319640874862671,1000,300
5,23,0.0,0.6286312937736511,1.2858339548110962,0.8181504,2.4239974,2.778245449066162,1.3379789590835571,1000,300
5,42,0.0,1.3001937866210938,1.4079619646072388,2.3997416,0.6949526,7.276114463806152,3.3876383304595947,1000,300
5,169,0.0,1.3639070987701416,1.004193902015686,0.19305047,1.7674181,2.94083309173584,0.1672968566417694,1000,300
10,7,0.0,3.3529176712036133,3.701775789260864,4.88735,1.6004037,11.68057632446289,2.7808427810668945,2000,300
10,13,0.0,2.82668399810791,5.144182205200195,3.2965589,5.674391,11.389183044433594,2.8810698986053467,2000,300
10,23,0.0,3.1143698692321777,4.5277533531188965,4.0010386,6.0162625,7.675428867340088,3.53668475151062,2000,300
10,42,0.0,2.882895469665528,4.975995063781738,1.7014588,0.11308045,7.111156463623047,3.2683589458465576,2000,300
10,169,0.0,2.559950351715088,5.499789237976074,6.036293,2.6593573,6.758708477020264,2.8104848861694336,2000,300
20,7,0.0,9.883461952209473,10.906349182128906,19.923725,13.687369,21.622106552124023,17.258197784423828,3000,300
20,13,0.0,10.450372695922852,11.89944553375244,15.292899,20.921312,19.27643585205078,17.120973587036133,3000,300
20,23,0.0,11.212998390197754,13.773103713989258,10.512306,12.992996,22.89509391784668,10.535676956176758,3000,300
20,42,0.0,10.991533279418944,11.726820945739746,11.274213,14.975757,18.440317153930664,16.116371154785156,3000,300
20,169,0.0,9.971158027648926,13.46442699432373,8.786568,16.922039,15.764687538146973,14.33509349822998,3000,300
30,7,0.0,21.63258171081543,21.10024070739746,24.011938,20.277891,34.43448638916016,28.000873565673828,4000,300
30,13,0.0,21.07336807250977,23.015979766845703,25.327316,20.365013,29.450927734375,30.47633934020996,4000,300
30,23,0.0,20.810733795166016,10.040759086608888,22.990011,18.173971,31.861703872680664,29.93867492675781,4000,300
30,42,0.0,20.54227828979492,19.27379035949707,24.057203,27.402746,33.1707763671875,30.935535430908203,4000,300
30,169,0.0,19.61622810363769,5.5675859451293945,20.377161,32.520557,28.701852798461918,25.76647186279297,4000,300
