,dim,seed,true_val,NSE_diff,NSE_grad,Langevin,HMC,CF,CF_on,NCV,NCV_on
0,1,52.8,14.0,13.986379814147949,13.998001289367675,14.3199928,13.859364399999999,13.956735229492187,13.959419441223144,25.142511749267577,13.995665359497071
1,2,52.8,28.0,27.98051643371582,27.993004608154298,28.256507999999997,28.100327800000002,27.991147613525392,27.876374435424804,58.48297119140625,27.98567924499512
2,3,52.8,42.0,42.7579231262207,41.954104614257815,42.314471,42.515545599999996,45.35274429321289,41.56779861450195,93.29077606201172,41.980516052246095
3,5,52.8,70.0,70.87469787597657,69.65570831298828,70.10415,70.27688900000001,147.61874084472657,67.65988006591797,163.3116882324219,69.94659576416015
4,10,52.8,140.0,145.56533203125,134.82322692871094,140.523358,140.91834,314.3972412109375,136.37422790527344,329.4057556152344,139.92680969238282
5,15,52.8,210.0,416.0214538574219,211.49585876464843,210.70054199999998,209.975718,482.288720703125,206.30347900390626,501.04453735351564,209.8494079589844
